title,amount,time,cofog1.code,cofog1.label,cofog2.code,cofog2.label,cofog3.code,cofog3.label,level
Centar za informisanje i priznavanje dokumenata iz oblasti visokog obrazovanja,751000,2012,09,Obrazovanje,09.8,Administracija obrazovanja,09.8.0,Administracija obrazovanja,Bosna i Hercegovina
Ured za veterinarstvo BiH,7813000,2012,07,Zdravstvo,07.6,Zdravstvena administracija,07.6.0,Zdravstvena administracija,Bosna i Hercegovina
Agencija za lijekove i medicinska sredstva Bosne i Hercegovine,5069000,2012,07,Zdravstvo,07.6,Zdravstvena administracija,07.6.0,Zdravstvena administracija,Bosna i Hercegovina
Agencija za sigurnost hrane BiH,1707000,2012,07,Zdravstvo,07.5,Istraživanja u zdravstvu,07.5.0,Istraživanja u zdravstvu,Bosna i Hercegovina
Agencija za forenzička ispitivanja i vještačenja,1063000,2012,07,Zdravstvo,07.5,Istraživanja u zdravstvu,07.5.0,Istraživanja u zdravstvu,Bosna i Hercegovina
Agencija za antidoping kontrolu,597000,2012,08,Kultura i religija,08.1,Rekreacija i sport,08.1.0,Rekreacija i sport,Bosna i Hercegovina
Minstarstvo za ljudska prava i izbjeglice BiH,10965000,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Bosna i Hercegovina
Fond za povratak BiH,439000,2012,10,Penzije i socijalno,10.7,Socijalna politika,10.7.0,Socijalna politika,Bosna i Hercegovina
Komisija za očuvanje nacionalnih spomenika,1309000,2012,08,Kultura i religija,08.2,Kultura,08.2.0,Kultura,Bosna i Hercegovina
Memorijalni centar Srebrenica-Potočari,734000,2012,08,Kultura i religija,08.2,Kultura,08.2.0,Kultura,Bosna i Hercegovina
Uprava BiH za zaštitu zdravlja bilja,985000,2012,05,Okoliš,05.4,Zaštita okoliša,05.4.0,Zaštita okoliša,Bosna i Hercegovina
Direktni transferi sa JRT,28594000,2012,01,Rad Vlade,01.8,Transferi drugim nivoima,01.8.0,Transferi drugim nivoima,Bosna i Hercegovina
Rezervisanja,3465000,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.2,Fiskalne aktivnosti,Bosna i Hercegovina
Servisiranje spoljnog duga,444928000,2012,01,Rad Vlade,01.7,Izdvajanja za javni dug,01.7.0,Izdvajanja za javni dug,Bosna i Hercegovina
