id,amount,admin,cofog,geocode
a8f0cc093d8d4bc18e0a38bd81d8ff46,2048687,Fed. agro-mediteranski zavod Mostar,04.2.1,Federacija Bosne i Hercegovine
c40fad2b43154f5f8726ebe929f85b32,1290809,Fed. zavod za agropedologiju,04.2.1,Federacija Bosne i Hercegovine
979a89b10d82412691d66205fa1ab6c9,1236188,Fed. zavod za geologiju,04.9.0,Federacija Bosne i Hercegovine
390cd3edd18c400f941430526274fa86,720645,Fed. zavod za program. razvoja,04.9.0,Federacija Bosne i Hercegovine
db151256f7cd4c1490c56be0e5e2453e,40869713,Fed. min. zdravstva,07.6.0,Federacija Bosne i Hercegovine
1373c093383f49768603b46253cd6456,367705739,Fed. min. rada i soc. politike,10.9.0,Federacija Bosne i Hercegovine
3be32255962247679a1f27ea80b6d2bc,353704673,Fed. min. za pitanje boraca i inv. odbr. - oslobod. rata,01.1.1,Federacija Bosne i Hercegovine
c92828b817b248378b1891d1a586b0e3,28708735,Fed. min. raseljenih osoba i izbjeglica,01.1.1,Federacija Bosne i Hercegovine
c3fcfd39193f455e8c5359405bfdbbe5,11018239,Fed. min. kulture i sporta,01.1.1,Federacija Bosne i Hercegovine
d2f0deec8aaf4e4eba46b550aacb3c9f,2465972,Fed. novinska agencija,08.3.0,Federacija Bosne i Hercegovine
a4513af0ce214f97aea6ff18b74febb8,8504825,Fed. min. obrazo. i nauke,09.8.0,Federacija Bosne i Hercegovine
36214b3658f64c43b37dd158730f6318,10163203,Fed. min. okoliša i turizma,01.1.1,Federacija Bosne i Hercegovine
8d98bf9f4f554d1584a170e3662cd2c7,8588970,Fed. min. prostornog uređenja,01.1.1,Federacija Bosne i Hercegovine
fb16500d77704567ba54b0f65ca82544,2259642,Fed. uprava za geo. i imovinsko - pravne poslove,06.1.0,Federacija Bosne i Hercegovine
9947697d06c245ea884e49559a15c199,24436000,Poreska uprava RS-a,01.1.2,Republika Srpska
b888a88219bc423e96e12b07aeaa0ee5,10919000,Predsjednik RS-a,01.1.1,Republika Srpska
30594405589044d098b5d0187561c198,10489000,Narodna skupština RS-a,01.1.1,Republika Srpska
c5995c3dc96147a198997c66fb22b960,10403000,Repub. uprava za inspekc. poslove,01.1.3,Republika Srpska
e7fbe464748f44c8854d22d990396bf8,10193000,Vlada RS-a,01.1.1,Republika Srpska
7598170e980f4c93bef3843d9df89df8,9369000,Min. uprave i lok. samouprave,01.1.1,Republika Srpska
fcebe6ae077640a89a40c87da336ea2d,7927000,Min. finansija,01.1.1,Republika Srpska
7c73cf33187d48c1b14b98c3e9182ce2,7415000,"Min. porodice, omladine i sporta",01.1.1,Republika Srpska
9504ed93f27d44e6a016ad309b765929,5268000,Služba za zajednič. poslove Vlade RS-a,01.3.3,Republika Srpska
ac23c8620ba9430da379cfd2df1ca4ee,4043000,Repub. zavod za statistiku,01.3.2,Republika Srpska
8726259208674ae584e5c51158a8ee56,3500000,Glavna služba za reviziju jav. sektora RS-a,01.1.2,Republika Srpska
7b993838befe44c38b9022fcfc781416,3340000,Vijeće naroda RS-a,01.1.1,Republika Srpska
3663fbef85884d41955a35081a71fab7,1298000,Repub. hidromet. zavod,04.9.0,Republika Srpska
0693d9655b45490c860e2d28019faa1a,1048000,Repub. uprava za igre na sreću,01.6.0,Republika Srpska
8af79d3f997549a083690ba53223348c,997000,Repub. centar za istraž. rat. zločina,01.4.0,Republika Srpska
856416cef80e4fa7a553dbbd00e82e18,898000,Arhiv RS-a,01.3.3,Republika Srpska
2ab07055fa984c3dac0813b6be8a19b2,648000,Repub. sekretar. za zakonodav.,01.1.1,Republika Srpska
5b0a5b8b807e4befa3c2a0c5ecabf3ec,623000,Agencija za državnu upravu,01.1.1,Republika Srpska
25f7f63c293348de9db00c82106fe0ab,578000,Agencija za upravljanje oduz. imov.,04.9.0,Republika Srpska
95be9ae6b9f8483eab53739f9a538a55,461000,Repub. devizni inspektorat,01.1.1,Republika Srpska
5580c2cf136243f7a29a86bc3e270e95,426000,Gender centar,03.6.0,Republika Srpska
4ff9191f120343178a752d5d64c0e1df,379000,Repub. zavod za standard. i metrolo.,04.1.1,Republika Srpska
065e85230c914907a88bba1bd16c366f,268000,Odbor državne uprave za žalbe,01.3.1,Republika Srpska
202f46ee6b7c447ab5c43a9aa6d85725,265000,Repub. komis. za utvrđ. interesa u organ. vlasti RS-a,01.4.0,Republika Srpska
309a70c661ec4b0d922f8d29520db536,179000,Komisija za žalbe,01.3.1,Republika Srpska
d678313732fa4a1e84377f9cd4fc6715,131000,Repub. izborna komisija,01.6.0,Republika Srpska
aff6674cf38f4b3990cfa82f207b6dac,163313000,MUP RS-a,03.1.0,Republika Srpska
652f9a0dd1a44d03b3070e56598d3979,29842000,Osnovni sudovi RS-a,03.3.0,Republika Srpska
47dede6bb95140a68e659d75ef1a1ba2,24780000,Kazneno popravni zavodi RS-a,03.4.0,Republika Srpska
0bad6bbaee16455d8cbc40aec46cdf02,9457000,Okružni sudovi RS-a,03.3.0,Republika Srpska
6ef313a4260047499cf8d9277c6ad532,8366000,Okružno tužilaštvo RS-a,03.3.0,Republika Srpska
45faea077c264723806ce9cc3b41167a,5300000,Sudska policija RS-a,03.1.0,Republika Srpska
0e9ea8c8bcb145d8b5334ed80c638461,4810000,Repub. uprava CZ,03.1.0,Republika Srpska
5c401b5d5abe4294ad783dfe690d5f82,4377000,Okružni privredni sudovi RS-a,03.3.0,Republika Srpska
d8a121bb91424ac3a8783e18f6938270,3488000,Pravobranilaštvo RS-a,03.3.0,Republika Srpska
ada6def81f2b45d6a926df76c398055d,3023000,Min. pravde,01.1.1,Republika Srpska
fc499a0fde104cd0935e909706df1b0d,2660000,Vrhovni sud RS-a,03.3.0,Republika Srpska
94da9f1cb21c45beb140dc1d82ef3848,2066000,Specijalno tužilaštvo,03.3.0,Republika Srpska
189b20776f584c61ab3d9cb9c5ef2d72,1790000,Ustavni sud RS-a,03.3.0,Republika Srpska
88600f0d42f449fca3b86952ec249cbb,1268000,Centar za pruž. besp. prav. pomoći,03.3.0,Republika Srpska
e53787343754443d9e94b281b047171e,916000,Viši privredni sud,03.3.0,Republika Srpska
3ad721680aba459081a7b97d8f270f4a,777000,Ombdusmen za djecu RS-a,03.3.0,Republika Srpska
b2c106f51e4e48bca3d2b4ecde24ccbe,723000,Repub. tužilaštvo RS-a,03.3.0,Republika Srpska
b4447187b7ae45b1ae747d2c32c5b46c,436000,Centar za edu.  sudija i javnih tužilaca u RS-u,03.3.0,Republika Srpska
56e962258acc451aa1d2d248fe6c82a0,234000,Kanc. pravnog predstavnika,03.3.0,Republika Srpska
da046d1f86954f50a8e9557b719f4474,60741000,Agencija za agrarna plačanja,04.2.1,Republika Srpska
a70893dfbad84d70adaaaceab0c44b38,29079000,Min. saobračaja i veza,01.1.1,Republika Srpska
420a807a27764cadb2a09edd2154d0df,23228000,"Min. energije, rudarstva i indust.",01.1.1,Republika Srpska
4b22d44d2ba24283aabaf724cb2d6c9f,10775000,Min. trgo. i turizma,01.1.1,Republika Srpska
8900dcb4478f451ba81595499ebd900d,9941000,Min. za ekon. odnose i region. saradnju,01.1.1,Republika Srpska
bb52faf8328e4016aff996520cd39a11,9051000,"Min. poljoprivr., vodoprivr. I šumarstva",01.1.1,Republika Srpska
6781e3cd82d14d13bd8bd3b565cb7ede,1639000,Repub. dir. za civ. vazd. plovidbu,04.5.4,Republika Srpska
bc4983690fc5456098ff8c0000950125,1185000,Vazduhoplovni servis,04.5.4,Republika Srpska
78bc8ab47ec0400294580994d1429f64,953000,Helikopterski servis,04.5.4,Republika Srpska
1d8b99627eb84acb82538b280ea8ccab,927000,Agencija za uzgoj i selek. u stočar.,04.9.0,Republika Srpska
ff40f61294914ece9efe54c8488ee339,806000,Agencija za pruž. struč. usluga u poljopr.,04.9.0,Republika Srpska
fef7e63fa2844a46ac7597d107dbede9,671000,Repub. zavod za geo. istraž.,04.8.4,Republika Srpska
dfff263da9ff4155b8dbcbf0de158dfc,582000,Agencija za šume,04.2.2,Republika Srpska
be64f96d4a4e40a4966a9dfcab562e2d,152000,Agencija za bezbj. saobračaja,04.9.0,Republika Srpska
0ab2226d82c948b080591e9e7e6f93f6,28935000,Min. zdravlja i soc. zaštite,07.6.0,Republika Srpska
c594db63c6894f5ba921bf85af7aebd2,429323000,Min. rada i borač. invalid. zaštite,01.1.1,Republika Srpska
4c64faa250a74694bd973824327f918d,11539000,Min za izbjeglice i raseljena lica,10.7.0,Republika Srpska
f54243208915431ea3d2e8b765a18ebc,12526000,Institucije kulture,08.2.0,Republika Srpska
63f1efdb66a344d4812d0fd13315a588,1502000,Repub. sekretar. za vjere,08.4.0,Republika Srpska
478ba6ae0c8f41f2a6332a757cb8d3b4,1059000,Repub. zavod za zaštitu kult. isto. i pr. naslijeđa,08.2.0,Republika Srpska
4d1130a3a14540c48b889433587509c8,209673000,Osnovno obrazovanje,09.1.2,Republika Srpska
832df5802c0d4066ab61540e0ac59624,82266000,Srednje obrazovanje,09.2.2,Republika Srpska
ff06b44162b6482f8ec56d1a9034085c,60982000,Univerziteti u RS-u,09.4.2,Republika Srpska
09e2b6ed6c6b42868764320bb6c6ba34,10069000,Specijalno i umjetničko obrazov.,09.3.0,Republika Srpska
0da0d93bb63b4e2ca0fb57a8ea199f14,9272000,Studentski i đački domovi,09.6.0,Republika Srpska
6f854b4019844fe788f25e18b5f6bc13,7989000,Min. nauke i tehnologije,01.1.1,Republika Srpska
f545e042a82c48e28ca76ae754526705,7325000,Min. prosvjete i kulture,01.1.1,Republika Srpska
66d4de3478184d9cb4a50228a2c957dc,1735000,Repub. pedagoški zavod,09.8.0,Republika Srpska
1a3a22bda6dd4cac85c9b0d94f5cb973,1357000,Akademija nauka i umj. RS-a,09.4.2,Republika Srpska
878a4d254a954d2295b27027a618d28b,1268000,Zavod za obrazov. odraslih,09.5.0,Republika Srpska
abac6eb9869547a5a8711a400a3b5e07,776000,Visoke šk. u RS-u,09.3.0,Republika Srpska
01fa04c7373a4bc3a513e7a20239753f,7581000,Agencija za vode obl. riječ. sliva Save,05.6.0,Republika Srpska
617429d015d84bf78c18299ba88b3020,740000,Agencija za vode obl. riječ. sliva Trebišnice,05.6.0,Republika Srpska
ac5dc8ce088545ffbd84b85aa7605dd4,15762000,Repub. uprava za geo. i imovinsko pravne odnose,06.1.0,Republika Srpska
ca56200f768c4fa59141d77b8fe65d1c,3936000,"Min. za prost. uređ., građ. i ekolo.",01.1.1,Republika Srpska
e2521ae514e749aa90a935fe2e7e03f7,627000,Repub. dir. za obnovu i izgrad.,06.2.0,Republika Srpska
a871d6fe5bd249639349f991392d1d00,3000000,Budžetska rezerva,01.1.2,Republika Srpska
9b0c7d64d678488a9f93e260be5bd8be,173216300,Otplata unutrašnjeg duga,01.7.0,Republika Srpska
3198b77a4f6048a5935c4ca8670e9766,155248000,Otplata vanjskog duga,01.7.0,Republika Srpska
11cbea082c01410288f4824bce6319aa,54436700,Ostalo,01.7.0,Republika Srpska
87c1d684629345e39f1b3d59f6a5bd23,"5784688,08",Kabinet gradonačelnika,01.1.1,Brčko Distrikt
fa95654d425e4bdb8ffed869b641ff5d,"5566463,65",Pododjeljenje za imovinsko - pravne poslove,06.6.0,Brčko Distrikt
20df93b5e7b84e1ea2e33f5c00a16eb5,"2629544,21",Sektor održavanja,01.6.0,Brčko Distrikt
f0a4f45ed6df4a56b73d080ddb0467b1,"2245464,27",Inspektorat,01.1.1,Brčko Distrikt
a5dd2322452842c2ba7c58340bb11eec,"2096467,38","Pododjeljenje za podr. MZ, NVO i UG",01.6.0,Brčko Distrikt
fcf6a6b045da43988fbca226f2346430,"2076700,27",Skupština,01.1.1,Brčko Distrikt
9a79d13d02bf42999500e0c89e3d783b,"1786533,18",Poreska uprava,01.1.2,Brčko Distrikt
a3f14834fc7a4c9b8de98ebd7a4723f2,"1621417,93","Pododjeljenje za prostorno plani., urb. i zašt. ok.",06.2.0,Brčko Distrikt
356b4ee7205a41d88ba2fe1448d00d5b,"1386735,27",Pododjeljenje za katastarske knjige,06.6.0,Brčko Distrikt
4a33e92a4b56408cb9cce91e88713240,"1357335,1",Trezor,01.1.2,Brčko Distrikt
223fdff3d0da4995adaca8dd1c6ccefb,"1272090,36",Stručna služba Skupštine,01.1.1,Brčko Distrikt
71660ae2e0954b1780dd37fd473a7a3c,"961067,66",Ured za reviziju,01.1.2,Brčko Distrikt
e2b2c4c15d3a48369744526fbb66f74c,"810426,44",Sektor za informacione tehnolo.,01.3.3,Brčko Distrikt
c122faf58c66409a9242ec367976f2c4,"790177,81",Pododjeljenje za matičnu evidenciju,01.6.0,Brčko Distrikt
705b89fe8a3b4acca5885fc9d5a2a265,"732129,09",Sektor za informisanje,01.6.0,Brčko Distrikt
9f014946ad054773a397623d2c37e33c,"711505,2",Pododjeljenje za pisarnicu i zajednič. posl.,01.1.1,Brčko Distrikt
811f46400f0c490fbac845cac89660a1,697500,Izborna komisija,01.6.0,Brčko Distrikt
728d4f1ce9ee4cae93068a55ff41d9a8,"676768,35",Pododjeljenje za ljudske resurse,01.3.1,Brčko Distrikt
009364f5eb754867942a09782b5136d3,"667680,37",Stručna služba Direkcije za finans.,01.1.1,Brčko Distrikt
44f94fe0f8c14309bf37173ceb10a456,"636661,54",Pododjeljenje za lične dokumente,01.6.0,Brčko Distrikt
fc0bf264dc624202a4ccaa270f029e55,"612083,04",Sektor za koord. politika i opće poslove,01.1.1,Brčko Distrikt
9a40dd29b2bb45f38c2d148aa9ac1098,"542667,01",Sektor raspolaganja,01.1.1,Brčko Distrikt
11f7f33ec0ea44ffb1a5ee6120124025,"375448,53",Kancelarija direktora,01.1.1,Brčko Distrikt
1b94cf4f87c84594b0f33d7da64791ba,"336433,76",Pododjeljenje za javne nabavke,01.1.2,Brčko Distrikt
3779066468ed440caf08f838e12a575f,"306232,42",Kancelarija koordinatora BD BiH pri Vijeći min.,01.1.1,Brčko Distrikt
e6373a52cc744f08ba2990991cffaf45,"279241,98",Komisija za papire od vrijednosti,01.6.0,Brčko Distrikt
0dfc58533acd464685c520b25b6a1dc4,"273083,54",Sektor za reformu i EU integracije,01.1.3,Brčko Distrikt
